time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
2.875000;-5.749019;2.679207;7.506430;-0.020150;-0.022988;0.019303
2.883333;-5.750696;2.669854;7.515626;0.001357;0.018451;0.024471
2.891667;-5.750829;2.675493;7.506474;-0.004086;-0.002824;0.015884
2.900000;-5.754567;2.686702;7.499240;0.005492;-0.027219;0.015751
2.908333;-5.760014;2.694147;7.499372;-0.008244;-0.021802;0.041842
2.916667;-5.745030;2.669731;7.531968;-0.015842;0.009895;0.013871
2.925000;-5.741659;2.671710;7.513576;0.003314;0.004536;-0.000404
2.933333;-5.734118;2.686416;7.535367;-0.001982;-0.013420;0.014759
2.941667;-5.752758;2.690417;7.499197;0.010935;-0.004886;0.024339
2.950000;-5.732442;2.671618;7.524340;0.016239;-0.007019;0.017785
2.958333;-5.725240;2.671631;7.520504;0.014030;-0.025088;0.012397
2.966667;-5.734311;2.677223;7.520723;0.011870;0.002436;0.000566
2.975000;-5.737892;2.682780;7.524472;0.005566;-0.003834;0.021158
2.983333;-5.741623;2.686554;7.517238;0.007668;0.007787;0.011422
2.991667;-5.747045;2.669835;7.517368;-0.005098;0.002523;0.023457
3.000000;-5.752466;2.677267;7.519331;0.007749;0.040689;0.013609
3.008333;-5.747292;2.664385;7.499064;-0.007294;0.006701;0.012691
3.016667;-5.745212;2.699547;7.520988;-0.000791;-0.009090;0.033112
3.025000;-5.761657;2.701497;7.512230;-0.022191;0.002519;0.027987
3.033333;-5.752671;2.679226;7.504687;0.017200;-0.019833;0.003733
3.041667;-5.738200;2.686649;7.502507;0.004428;-0.015556;0.013606
3.050000;-5.770591;2.647571;7.517936;-0.010412;-0.005943;0.030006
3.058333;-5.749163;2.695999;7.497279;-0.012569;0.003581;0.026790
3.066667;-5.747381;2.701585;7.495405;0.001263;-0.012349;0.020129
3.075000;-5.749091;2.699679;7.502771;0.004421;-0.011323;0.011451
3.083333;-5.747101;2.675436;7.513708;0.017496;0.002660;0.044782
